params,mean_test_score,rank_test_score
"{'bagging_temperature': np.float64(0.6181557343181191), 'depth': 7, 'iterations': 3720, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.10217513778662488), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.567531626696621,94
"{'bagging_temperature': np.float64(0.5899176868546331), 'depth': 14, 'iterations': 3482, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.02838512484813971), 'loss_function': 'MAE', 'one_hot_max_size': 2, 'random_strength': 10}",-1.5684969966499795,95
"{'bagging_temperature': np.float64(0.08410680611499743), 'depth': 11, 'iterations': 3217, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.11729097309134347), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.568917729442131,96
"{'bagging_temperature': np.float64(0.4965611906830777), 'depth': 12, 'iterations': 2365, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.013492217616018636), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 5}",-1.5699777867730096,97
"{'bagging_temperature': np.float64(0.018390676547466733), 'depth': 5, 'iterations': 3175, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.11492387456453383), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.570398286123731,98
"{'bagging_temperature': np.float64(0.912363345616691), 'depth': 6, 'iterations': 1529, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.12236537833078404), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 2}",-1.5704783985046065,99
"{'bagging_temperature': np.float64(0.10077800137742665), 'depth': 5, 'iterations': 3546, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.07737707338132804), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.5707296039332523,100
"{'bagging_temperature': np.float64(0.24215993827742588), 'depth': 9, 'iterations': 3327, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.06647354682787941), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 5}",-1.5710472876614976,101
"{'bagging_temperature': np.float64(0.5201681098787319), 'depth': 13, 'iterations': 2131, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.010758361883172547), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.5714043299635925,102
"{'bagging_temperature': np.float64(0.32815266747473193), 'depth': 13, 'iterations': 1574, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.058707257713704185), 'loss_function': 'MAE', 'one_hot_max_size': 2, 'random_strength': 10}",-1.5720213175454008,103
"{'bagging_temperature': np.float64(0.9343670147690148), 'depth': 9, 'iterations': 3826, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.014447094413800642), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.573225662579168,104
"{'bagging_temperature': np.float64(0.7578461104643691), 'depth': 12, 'iterations': 2243, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.013258703722976441), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.573350079283338,105
"{'bagging_temperature': np.float64(0.6075448519014384), 'depth': 8, 'iterations': 3888, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.010405384007798954), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.5739205745078944,106
