params,mean_test_score,rank_test_score
"{'colsample_bytree': np.float64(0.602208846849441), 'learning_rate': np.float64(0.08007656085680603), 'max_depth': 19, 'min_child_weight': 145, 'n_estimators': 2198, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.7712703466859457), 'reg_lambda': np.float64(0.07404465173409036), 'subsample': np.float64(0.7433862914177091), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1926952476201038)}",-1.5043073176712105,54
"{'colsample_bytree': np.float64(0.9033569655782726), 'learning_rate': np.float64(0.04393146864222633), 'max_depth': 19, 'min_child_weight': 127, 'n_estimators': 1209, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.9033638126360249), 'reg_lambda': np.float64(0.6466649191171634), 'subsample': np.float64(0.8772700845827699), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.141276645326968)}",-1.5054157807266777,55
"{'colsample_bytree': np.float64(0.8753620073968547), 'learning_rate': np.float64(0.017874340826499916), 'max_depth': 7, 'min_child_weight': 16, 'n_estimators': 2968, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.3458774607378574), 'reg_lambda': np.float64(0.15445974722332378), 'subsample': np.float64(0.6101791039623004), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.6166579090291875)}",-1.5058382633841316,56
"{'colsample_bytree': np.float64(0.6291607341471613), 'learning_rate': np.float64(0.01968170386664068), 'max_depth': 17, 'min_child_weight': 168, 'n_estimators': 1813, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.4013060242197122), 'reg_lambda': np.float64(0.2925150910707418), 'subsample': np.float64(0.6609318357858142), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.31293441001243)}",-1.505948812274728,57
"{'colsample_bytree': np.float64(0.8790567485973853), 'learning_rate': np.float64(0.07506809466042282), 'max_depth': 12, 'min_child_weight': 193, 'n_estimators': 1853, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.25824438829895835), 'reg_lambda': np.float64(0.4591357562382613), 'subsample': np.float64(0.9920130301141908), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4940944751942957)}",-1.506441987723964,58
"{'colsample_bytree': np.float64(0.8996646556405132), 'learning_rate': np.float64(0.008213241661315792), 'max_depth': 14, 'min_child_weight': 130, 'n_estimators': 2195, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.49888815345135606), 'reg_lambda': np.float64(0.6181557343181191), 'subsample': np.float64(0.8809859882176416), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.5477189467895314)}",-1.506519631416683,59
"{'colsample_bytree': np.float64(0.8590852684251686), 'learning_rate': np.float64(0.07500909262857447), 'max_depth': 15, 'min_child_weight': 171, 'n_estimators': 2251, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.12572426899222622), 'reg_lambda': np.float64(0.7370965504320512), 'subsample': np.float64(0.9898367245341319), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1417589032359774)}",-1.506665436470344,60
"{'colsample_bytree': np.float64(0.7616561286604132), 'learning_rate': np.float64(0.015206793142127358), 'max_depth': 8, 'min_child_weight': 28, 'n_estimators': 2944, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.3171957167653986), 'reg_lambda': np.float64(0.868900625540571), 'subsample': np.float64(0.7502689007526906), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.3374954196482247)}",-1.5066767133899894,61
"{'colsample_bytree': np.float64(0.7499214271127186), 'learning_rate': np.float64(0.025068882497363023), 'max_depth': 8, 'min_child_weight': 27, 'n_estimators': 2543, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.9840131632104643), 'reg_lambda': np.float64(0.2884054378187457), 'subsample': np.float64(0.9844541941630371), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4115855159219364)}",-1.5066911014071251,62
"{'colsample_bytree': np.float64(0.9718467691502737), 'learning_rate': np.float64(0.07160418752142754), 'max_depth': 12, 'min_child_weight': 44, 'n_estimators': 1421, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.37691416473637196), 'reg_lambda': np.float64(0.46173281361238216), 'subsample': np.float64(0.7923624003012278), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4481443194042856)}",-1.5066970797646957,63
