,disk_capacity,vm_cpu,vm_memory,recent_history_bandwidth_memory,disk_if_VIP,ins_type,disk_type,volume_type,business_type
57,100,4.0,8.0,2955.9518849206347,1,CVM,data,cbsssd,infra-logging-monitoring
14251,50,48.0,96.0,16702.680555555555,1,CVM,root,cbsPremium,infra-node
10818,50,16.0,64.0,8460.64880952381,1,CVM,root,cbsssd,infra-logging-monitoring
23993,500,96.0,192.0,38341.99305555556,1,CVM,root,cbsBSSD,infra-node
21064,150,8.0,32.0,,1,CVM,root,cbsPremium,game-service
1534,200,16.0,64.0,28990.349206349205,1,CVM,data,cbsBSSD,infra-node
5792,90,2.0,8.0,4573.3224206349205,0,CVM,data,cbsssd,infra-message-queue
23534,2000,8.0,32.0,481001.9508928572,1,CVM,data,cbsPremium,dev-test-env
5711,100,32.0,128.0,,0,CVM,data,cbsPremium,infra-node
19504,100,16.0,64.0,,1,CVM,root,cbsPremium,media-video-streaming
4813,200,8.0,16.0,10054.459325396823,0,CVM,data,cbsPremium,media-video-streaming
18399,50,16.0,32.0,12182.454365079366,1,CVM,root,cbsPremium,generic-autoscaling
7858,200,2.0,4.0,,1,CVM,root,cbsssd,infra-message-queue
3210,10,32.0,128.0,146647.3596230159,1,CVM,data,cbsPremium,infra-node
22966,100,2.0,4.0,20678.959325396827,1,CVM,root,cbsPremium,generic-unknown
3789,90,2.0,8.0,1391.2579365079366,0,CVM,data,cbsPremium,infra-message-queue
10700,100,16.0,64.0,13150.468253968254,0,CVM,root,cbsPremium,generic-unknown
23700,1000,32.0,128.0,,1,CVM,data,cbsHSSD,infra-node
23403,20,4.0,16.0,30287.43005952381,0,CVM,data,cbsHSSD,infra-database
23811,100,2.0,4.0,22245.7628968254,1,CVM,root,cbsPremium,generic-unknown
10117,50,16.0,64.0,,1,CVM,root,cbsPremium,office-system
6237,200,8.0,16.0,8475.886408730159,1,CVM,data,cbsPremium,infra-node
11862,1000,2.0,4.0,7708.503968253968,0,CVM,data,cbsPremium,infra-node
3318,100,8.0,16.0,,1,CVM,data,cbsPremium,dev-test-env
24049,400,16.0,128.0,,1,CVM,data,cbsBSSD,infra-node
18833,50,32.0,128.0,77184.50396825396,1,CVM,root,cbsPremium,infra-node
14314,50,32.0,128.0,7224.628472222223,1,CVM,root,cbsPremium,compute-simulation
16810,200,16.0,64.0,,1,CVM,data,cbsPremium,dev-test-env
322,100,4.0,16.0,22.854166666666668,0,CVM,data,cbsHSSD,infra-database
4706,100,8.0,32.0,14066.492063492064,1,CVM,root,cbsPremium,media-video-streaming
3533,500,2.0,16.0,4079.323908730159,1,CVM,data,cbsPremium,dev-test-env
14074,50,8.0,32.0,,1,CVM,root,cbsPremium,infra-node
1862,50,2.0,2.0,6608.321924603175,1,CVM,data,cbsPremium,infra-coordination
18854,500,32.0,64.0,69280.84871031746,1,CVM,data,cbsBSSD,generic-autoscaling
8497,100,16.0,64.0,7484.553075396825,0,CVM,root,cbsPremium,infra-node
23921,500,2.0,4.0,,1,CVM,root,cbsPremium,infra-logging-monitoring
735,500,8.0,16.0,,1,CVM,data,cbsTSSD,infra-node
6551,50,8.0,16.0,,1,CVM,root,cbsPremium,generic-unknown
11500,50,4.0,8.0,,1,CVM,root,cbsPremium,finance-payment
5050,500,32.0,64.0,,1,CVM,data,cbsPremium,infra-node
5284,500,16.0,64.0,,0,CVM,data,cbsPremium,infra-logging-monitoring
20146,50,2.0,2.0,7025.356150793651,1,CVM,root,cbsPremium,finance-payment
8374,50,2.0,4.0,8808.007936507936,1,CVM,data,cbsPremium,infra-node
16155,50,8.0,32.0,8058.28125,1,CVM,root,cbsPremium,infra-node
19263,50,2.0,4.0,,1,CVM,root,cbsPremium,dev-test-env
7725,100,2.0,4.0,,1,CVM,data,cbsPremium,office-system
18878,200,8.0,32.0,5798.038690476191,1,CVM,data,cbsHSSD,media-video-streaming
18456,300,8.0,16.0,140953.89682539683,0,CVM,data,cbsPremium,infra-logging-monitoring
14528,100,4.0,8.0,530.7594246031746,1,CVM,data,cbsPremium,game-service
21562,50,4.0,8.0,15145.873015873016,1,CVM,root,cbsBSSD,travel-hospitality
6769,600,8.0,16.0,7320.516369047619,0,CVM,data,cbsPremium,media-video-streaming
13835,50,4.0,8.0,,1,CVM,root,cbsPremium,dev-test-env
23283,50,16.0,32.0,470349.966765873,1,CVM,root,cbsPremium,data-collection-delivery
15488,200,32.0,128.0,12898.10367063492,1,CVM,root,cbsPremium,ai-machine-learning
24148,2000,16.0,32.0,,0,CVM,data,cbsPremium,infra-message-queue
10138,100,4.0,4.0,,1,CVM,root,cbsssd,dev-test-env
17654,200,32.0,128.0,,1,CVM,root,cbsPremium,compute-simulation
13064,50,2.0,4.0,6770.746031746032,1,CVM,root,cbsPremium,dev-test-env
13365,50,16.0,64.0,2649313.003472222,0,CVM,root,cbsPremium,generic-unknown
15024,100,4.0,8.0,,1,CVM,data,cbsPremium,finance-payment
5853,200,4.0,8.0,,0,CVM,data,cbsPremium,generic-unknown
15393,50,4.0,16.0,6548.188492063492,1,CVM,data,cbsPremium,infra-message-queue
4309,50,4.0,8.0,,1,CVM,data,cbsPremium,dev-test-env
1121,50,2.0,4.0,,1,CVM,data,cbsPremium,infra-coordination
5076,1501,8.0,32.0,,1,CVM,data,cbsHSSD,infra-message-queue
12310,50,32.0,64.0,7537.012896825397,1,CVM,root,cbsPremium,compute-simulation
7729,50,4.0,8.0,,1,CVM,root,cbsssd,infra-coordination
4152,50,16.0,64.0,7921.418650793651,0,CVM,root,cbsPremium,infra-logging-monitoring
4252,50,4.0,16.0,,1,CVM,root,cbsPremium,infra-database
8735,200,8.0,32.0,,1,CVM,data,cbsHSSD,media-video-streaming
491,10,4.0,8.0,,1,CVM,data,cbsPremium,infra-node
12210,300,16.0,128.0,,1,CVM,root,cbsBSSD,infra-node
3492,20,8.0,16.0,,1,CVM,data,cbsPremium,infra-node
385,10,16.0,128.0,8435.18998015873,1,CVM,data,cbsPremium,infra-node
10152,200,16.0,32.0,,1,CVM,root,cbsssd,infra-node
2647,670,4.0,8.0,3084.4513888888887,0,CVM,data,cbsPremium,infra-message-queue
